1	0.316251908	5	4
2	0.685265253	8	4
3	0.840429877	13	5
4	0.989429589	19	5
5	0.31873138	27	6
6	0.055545136	37	7
7	0.39228953	48	8
8	0.682961286	60	9
9	0.473035914	72	9
10	0.824676269	83	10
11	0.871637288	92	10
12	0.742466395	98	11
13	0.547357454	100	11
14	0.970909146	98	10
15	0.512933175	92	11
16	0.606566324	83	10
17	0.590660758	72	10
18	0.950239432	60	9
19	0.646288552	48	8
20	0.74848671	37	7
21	0.958060517	27	6
22	0.68059618	19	5
23	0.223790585	13	4
24	0.156049351	8	4
25	0.248548494	5	3
26	0.038005755	3	3
